# emapper version: emapper-1.0.3 emapper DB: 4.5.1
# command: ./emapper.py  -i ../Mcavernosa.proteins.fasta --output Mcavernosa_euk -d euk --usemem --cpu 60
# time: Tue Jul 10 03:58:24 2018
#query_name	eggNOG annot
Mcavernosa23130	processing of precursor 4, ribonuclease P MRP subunit (S. cerevisiae)
Mcavernosa23129	NA
Mcavernosa23139	MAM domain containing 4
Mcavernosa23135	polynucleotide kinase 3'-phosphatase
Mcavernosa23142	MAM domain containing 4
Mcavernosa23141	MAM domain containing 4
Mcavernosa23136	MAM domain containing 4
Mcavernosa23147	proto-oncogene
Mcavernosa23154	chromosome 1 open reading frame 158
Mcavernosa23156	glutathione S-transferase kappa 1
Mcavernosa23159	UDP-GlcNAc betaGal beta-1,3-N-acetylglucosaminyltransferase 5
Mcavernosa23155	nudix (nucleoside diphosphate linked moiety X)-type motif
Mcavernosa23152	importin
Mcavernosa23158	chloride channel
Mcavernosa23153	elongator acetyltransferase complex subunit 5
Mcavernosa23150	Solute carrier family 35
Mcavernosa23166	NA
Mcavernosa23164	Aldo/keto reductase family
Mcavernosa23163	myeloid lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)
Mcavernosa23168	Major facilitator superfamily domain containing
Mcavernosa23160	elongator acetyltransferase complex subunit 5
Mcavernosa23167	Major facilitator superfamily domain containing
Mcavernosa23171	ATPase, class VI, type
Mcavernosa23178	UTP20, small subunit (SSU) processome component, homolog (yeast)
Mcavernosa23172	Wolf-Hirschhorn syndrome candidate 2
Mcavernosa23173	ATPase, class VI, type
Mcavernosa23175	ATPase, class VI, type
Mcavernosa23181	DIS3 mitotic control homolog (S
Mcavernosa23183	NA
Mcavernosa23189	nuclear factor of kappa light polypeptide gene enhancer in B-cells
Mcavernosa23190	nuclear factor of kappa light polypeptide gene enhancer in B-cells
Mcavernosa23194	F5/8 type C domain
Mcavernosa23203	NA
Mcavernosa23213	Forms a fork protection complex (FPC) with tof1 and which is required for chromosome segregation during meiosis and DNA damage repair. FPC coordinates leading and lagging strand synthesis and moves with the replication fork. FPC stabilizes replication forks in a configuration that is recognized by replication checkpoint sensors (By similarity)
Mcavernosa23219	Poly (ADP-ribose) polymerase family, member 16
Mcavernosa23215	phosphatidylinositol glycan anchor biosynthesis, class B
Mcavernosa23220	aspartate beta-hydroxylase
Mcavernosa23217	(regulatory) subunit
Mcavernosa23216	(regulatory) subunit
Mcavernosa23204	Subunit A
Mcavernosa23211	Forms a fork protection complex (FPC) with tof1 and which is required for chromosome segregation during meiosis and DNA damage repair. FPC coordinates leading and lagging strand synthesis and moves with the replication fork. FPC stabilizes replication forks in a configuration that is recognized by replication checkpoint sensors (By similarity)
Mcavernosa23205	Subunit A
Mcavernosa23224	Pituitary tumor-transforming 1 interacting protein
Mcavernosa23227	domain--containing protein
Mcavernosa23225	chondroitin sulfate
Mcavernosa23223	armadillo repeat containing 6
Mcavernosa23234	Transforming growth factor beta like domain
Mcavernosa23228	DENN MADD domain containing 4B
Mcavernosa23231	FAT tumor suppressor homolog
Mcavernosa23237	Ankyrin Repeat Protein
Mcavernosa23232	Transcription factor IIA, alpha/beta subunit
Mcavernosa23236	uDENN domain
Mcavernosa23235	DENN MADD domain containing 4B
Mcavernosa23241	tyrosine aminotransferase
Mcavernosa23242	HEAT repeat
Mcavernosa23244	EF hand family protein
Mcavernosa23245	cholinergic receptor, nicotinic
Mcavernosa23249	Acetylcholine Receptor
Mcavernosa23248	cholinergic receptor, nicotinic
Mcavernosa23257	Complement component
Mcavernosa23261	EGF_like
Mcavernosa23258	argininosuccinate synthase
Mcavernosa23254	C3 and PZP-like, alpha-2-macroglobulin domain containing 8
Mcavernosa23256	Complement component
Mcavernosa23255	C3 and PZP-like, alpha-2-macroglobulin domain containing 8
Mcavernosa23252	Complement component
Mcavernosa23266	trimethylguanosine synthase
Mcavernosa23264	NA
Mcavernosa23262	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
Mcavernosa23269	lactamase, beta
Mcavernosa23260	Quinone oxidoreductase
Mcavernosa23271	FA58C
Mcavernosa23270	Jumonji domain containing
Mcavernosa23272	Strawberry notch homolog
Mcavernosa23280	protein Hydra magnipapillata
Mcavernosa23284	PHOsphatase
Mcavernosa23279	NA
Mcavernosa23281	protein Hydra magnipapillata
Mcavernosa23282	NA
Mcavernosa23283	NA
Mcavernosa23292	splicing factor 3b, subunit 4
Mcavernosa23288	Cyclin-Dependent Kinase
Mcavernosa23290	Endothelin converting enzyme
Mcavernosa23293	receptor
Mcavernosa23298	NACHT and WD repeat domain containing 1
Mcavernosa23297	zinc finger, C4H2 domain containing
Mcavernosa23300	NACHT and WD repeat domain containing 1
Mcavernosa23299	NACHT and WD repeat domain containing 1
Mcavernosa23294	Chromosome 2 open reading frame 18
Mcavernosa23308	Ubiquitin-protein ligase
Mcavernosa23309	Ubiquitin-protein ligase
Mcavernosa23312	Ubiquitin-protein ligase
Mcavernosa23310	Ubiquitin-protein ligase
Mcavernosa23311	Ubiquitin-protein ligase
Mcavernosa23341	Zinc finger, C3HC4 type (RING finger)
Mcavernosa23330	Polycystin cation channel
Mcavernosa23335	Cyclin-dependent kinase-like
Mcavernosa23336	Cyclin-dependent kinase-like
Mcavernosa23334	pancreatic
Mcavernosa23353	DUF292 domain containing protein
Mcavernosa23342	Cyclin-dependent kinase-like
Mcavernosa23359	SH3-domain GRB2-like
Mcavernosa23347	Phosphodiesterase
Mcavernosa23358	ADP-ribosylation factor-like
Mcavernosa23351	coiled-coil domain containing 176
Mcavernosa23348	Phosphodiesterase
Mcavernosa23357	sushi domain containing 2
Mcavernosa23362	dedicator of cyto-kinesis
Mcavernosa23361	2-oxoisovalerate dehydrogenase
Mcavernosa23365	NA
Mcavernosa23369	receptor
Mcavernosa23370	receptor
Mcavernosa23371	receptor
Mcavernosa23372	Bone morphogenetic protein 1
Mcavernosa23400	Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins (By similarity)
Mcavernosa23399	NA
Mcavernosa23401	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase
Mcavernosa23404	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase
Mcavernosa23405	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase
Mcavernosa23402	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase
Mcavernosa23407	chitinase
Mcavernosa23411	NA
Mcavernosa23410	NA
Mcavernosa23414	Cytochrome P450, family 17, subfamily A, polypeptide 1
Mcavernosa23418	STYKc
Mcavernosa23422	NHL repeat containing 2
Mcavernosa23425	chromosome 14 open reading frame 166B
Mcavernosa23430	Protein tyrosine kinase
Mcavernosa23429	Inherit from NOG: sterile alpha motif domain containing 3
Mcavernosa23434	NIMA-related kinase
Mcavernosa23433	exportin
Mcavernosa23436	NA
Mcavernosa23454	NA
Mcavernosa23455	NA
Mcavernosa23452	NLR family, CARD domain containing 4
Mcavernosa23464	DPY30 domain containing 1
Mcavernosa23459	Immunoglobulin domain
Mcavernosa23463	Protein phosphatase, Mg2 Mn2 dependent, 1K
Mcavernosa23461	ADP-ribosylation factor-like 13b
Mcavernosa23468	HMG box domain containing 3
Mcavernosa23467	NA
Mcavernosa23472	piggyBac transposable element derived 4
Mcavernosa23492	T-complex protein 1 subunit alpha
Mcavernosa23483	elongation of very long chain fatty acids protein
Mcavernosa23484	NA
Mcavernosa23498	elongation of very long chain fatty acids protein
Mcavernosa23496	bolA homolog 1 (E. coli)
Mcavernosa23499	elongation of very long chain fatty acids protein
Mcavernosa23504	translation machinery associated 16 homolog (S. cerevisiae)
Mcavernosa23511	NA
Mcavernosa23503	Chromosome 19 open reading frame 52
Mcavernosa23509	NA
Mcavernosa23514	Pfam:DDE
Mcavernosa23528	Zinc finger protein 862
Mcavernosa23524	NA
Mcavernosa23522	NA
Mcavernosa23527	NA
Mcavernosa23519	solute carrier family 25 (mitochondrial folate carrier) , member 32
Mcavernosa23521	Low density lipoprotein receptor-related protein
Mcavernosa23533	NA
Mcavernosa23542	fumarylacetoacetate hydrolase
Mcavernosa23536	proprotein convertase subtilisin kexin type
Mcavernosa23534	proprotein convertase subtilisin kexin type
Mcavernosa23548	NOP56 ribonucleoprotein homolog (yeast)
Mcavernosa23543	NOP56 ribonucleoprotein homolog (yeast)
Mcavernosa23550	NA
Mcavernosa23555	Solute carrier family 31 copper transporters member
Mcavernosa23559	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
Mcavernosa23554	Quinone oxidoreductase
Mcavernosa23560	NIMA-related kinase
Mcavernosa23558	zinc metalloprotease
Mcavernosa23556	synaptotagmin
Mcavernosa23567	proprotein convertase subtilisin kexin type
Mcavernosa23569	ccr4-Not transcription complex
Mcavernosa23568	protein 2 3 complex subunit
Mcavernosa23572	glutathione peroxidase
Mcavernosa23576	NA
Mcavernosa23573	NA
Mcavernosa23575	NA
Mcavernosa23580	Protein phosphatase 6, regulatory subunit
Mcavernosa23577	K04256 c-opsin
Mcavernosa23590	sphingomyelin phosphodiesterase, acid-like
Mcavernosa23579	Protein phosphatase 6, regulatory subunit
Mcavernosa23588	adenosine kinase
Mcavernosa23584	chromosome 4 open reading frame 45
Mcavernosa23582	lipase, family member
Mcavernosa23586	ubiquitin
Mcavernosa23598	rho GTPase activating protein
Mcavernosa23604	Two pore segment channel 2
Mcavernosa23606	Two pore segment channel 2
Mcavernosa23603	CAMP responsive element binding protein
Mcavernosa23602	Hairy and enhancer of split
Mcavernosa23609	(DC) complex that phosphorylates and inhibits members of the retinoblastoma (RB) protein family including RB1 and regulates the cell-cycle during G(1) S transition. Phosphorylation of RB1 allows dissociation of the transcription factor E2F from the RB E2F complex and the subsequent transcription of E2F target genes which are responsible for the progression through the G(1) phase. Hypophosphorylates RB1 in early G(1) phase. Cyclin D-CDK4 complexes are major integrators of various mitogenenic and antimitogenic signals. Also substrate for SMAD3, phosphorylating SMAD3 in a cell-cycle-dependent manner and repressing its transcriptional activity. Component of the ternary complex, cyclin
Mcavernosa23596	Solute carrier family 32 (GABA vesicular transporter), member 1
Mcavernosa23597	Zinc finger protein
Mcavernosa00007	chromobox homolog 8
Mcavernosa00002	Laminin EGF-like (Domains III and V)
Mcavernosa00006	PH domain
Mcavernosa00004	HID1 domain containing
Mcavernosa00014	meiosis expressed gene 1
Mcavernosa00011	zinc finger
Mcavernosa00017	polycystic kidney disease 1-like 2
Mcavernosa00015	THO complex 6 homolog (Drosophila)
Mcavernosa00023	Mitogen-activated protein kinase kinase
Mcavernosa00021	diacylglycerol lipase
Mcavernosa00025	RAB35, member RAS oncogene family
Mcavernosa00032	unc-79 homolog (C. elegans)
Mcavernosa00033	unc-79 homolog (C. elegans)
Mcavernosa00031	inositol-tetrakisphosphate 1-kinase
Mcavernosa00027	Coiled-coil domain containing 33
Mcavernosa00028	Coiled-coil domain containing 33
Mcavernosa00044	GLE1 RNA export mediator homolog (yeast)
Mcavernosa00046	Dehydrogenase reductase SDR family member
Mcavernosa00038	Inherit from KOG: protein kinase kinase kinase
Mcavernosa00037	Inherit from KOG: protein kinase kinase kinase
Mcavernosa00045	Cleaves proteins, imported into the mitochondrion, to their mature size. While most mitochondrial precursor proteins are processed to the mature form in one step by mitochondrial processing peptidase (MPP), the sequential cleavage by MIP of an octapeptide after initial processing by MPP is a required step for a subgroup of nuclear-encoded precursor proteins destined for the matrix or the inner membrane
Mcavernosa00043	Usher syndrome 2A (autosomal recessive, mild)
Mcavernosa00047	secreted protein, acidic, cysteine-rich (osteonectin)
Mcavernosa00052	Major facilitator superfamily domain containing
Mcavernosa00050	Major facilitator superfamily domain containing
Mcavernosa00054	family S15
Mcavernosa00057	SID1 transmembrane family member
Mcavernosa00055	family S15
Mcavernosa00056	family S15
Mcavernosa00058	contactin associated protein-like
Mcavernosa00053	NA
Mcavernosa00067	Aminotransferase class I and II
Mcavernosa00071	coiled-coil domain containing 170
Mcavernosa00068	Aminotransferase class I and II
Mcavernosa00072	Protein inhibitor of activated STAT
Mcavernosa00063	single fertilization
Mcavernosa00060	Nuclear export mediator factor
Mcavernosa00069	Aminotransferase class I and II
Mcavernosa00059	SID1 transmembrane family member
Mcavernosa00066	Transcriptional
Mcavernosa00070	heat shock factor binding protein
Mcavernosa00064	SANT
Mcavernosa00075	SID1 transmembrane family member
Mcavernosa00078	PHOsphatase
Mcavernosa00081	carboxyl methyltransferase
Mcavernosa00077	Dehydrogenase
Mcavernosa00073	NA
Mcavernosa00079	Maguk P55 subfamily member
Mcavernosa00092	calmodulin
Mcavernosa00089	solute carrier family 46 (folate transporter), member 1
Mcavernosa00091	calmodulin
Mcavernosa00084	FSHD Region Gene 1
Mcavernosa00090	Arylsulfatase
Mcavernosa00083	solute carrier family 46 (folate transporter), member 1
Mcavernosa00086	Spastic ataxia of Charlevoix-Saguenay (Sacsin)
Mcavernosa00087	Spastic ataxia of Charlevoix-Saguenay (Sacsin)
Mcavernosa00101	Solute carrier family 8 sodium calcium exchanger member
Mcavernosa00094	ATR interacting protein
Mcavernosa00098	polyribonucleotide nucleotidyltransferase
Mcavernosa00095	transcription factor A, mitochondrial
Mcavernosa00099	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog
Mcavernosa00102	attachment protein
Mcavernosa00097	polyribonucleotide nucleotidyltransferase
Mcavernosa00107	Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first
Mcavernosa00109	chromosome 1 open reading frame 95
Mcavernosa00111	doublesex and mab-3 related transcription factor
Mcavernosa00110	doublesex and mab-3 related transcription factor
Mcavernosa00115	phosphofurin acidic cluster sorting protein
Mcavernosa00119	NA
Mcavernosa00118	synaptotagmin
Mcavernosa00129	Collagen type X alpha 1
Mcavernosa00120	NA
Mcavernosa00121	RNA binding motif protein 34
Mcavernosa00135	endoplasmic reticulum lectin
Mcavernosa00140	Tousled-like kinase
Mcavernosa00132	CYCc
Mcavernosa00134	Nicotinatenucleotide pyrophosphorylase
Mcavernosa00136	Component of the nascent polypeptide-associated complex (NAC), a dynamic component of the ribosomal exit tunnel, protecting the emerging polypeptides from interaction with other cytoplasmic proteins to ensure appropriate nascent protein targeting. The NAC complex also promotes mitochondrial protein import by enhancing productive ribosome interactions with the outer mitochondrial membrane and blocks the inappropriate interaction of ribosomes translating non-secretory nascent polypeptides with translocation sites in the membrane of the endoplasmic reticulum. Egd2 may also be involved in transcription regulation (By similarity)
Mcavernosa00137	solute carrier family 12
Mcavernosa00138	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
Mcavernosa00144	protein tyrosine kinase activity
Mcavernosa00150	kelch-like
Mcavernosa00152	BACK
Mcavernosa00151	kelch-like
Mcavernosa00160	Cyclin-dependent kinase 5 regulatory subunit
Mcavernosa00164	serine threonine kinase 11 interacting protein
Mcavernosa00168	Universal stress protein
Mcavernosa00158	Phytanoyl-CoA dioxygenase (PhyH)
Mcavernosa00156	kelch-like
Mcavernosa00163	Ras suppressor protein 1
Mcavernosa00161	Type-I myosin implicated in the organization of the actin cytoskeleton. Required for proper actin cytoskeleton polarization. At the cell cortex, assembles in patch-like structures together with proteins from the actin-polymerizing machinery and promotes actin assembly. Functions as actin nucleation-promoting factor (NPF) for the Arp2 3 complex
Mcavernosa00159	Chromosome 1 open reading frame 35
Mcavernosa00157	ADP-ribosylation factor
Mcavernosa00174	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs
Mcavernosa00173	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs
Mcavernosa00178	kelch-like
Mcavernosa00175	mitogen-activated protein kinase kinase kinase
Mcavernosa00177	actin-binding Rho activating protein
Mcavernosa00179	BTB POZ domain containing
Mcavernosa00170	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs
Mcavernosa00176	methyltransferase like 24
Mcavernosa00185	adrenoceptor alpha
Mcavernosa00184	Par-3 (Partitioning defective 3) homolog (C. elegans)
Mcavernosa00191	Coiled-coil domain containing 148
Mcavernosa00182	Small nuclear RNA activating complex, polypeptide 1, 43kDa
Mcavernosa00192	downstream neighbor of Son
Mcavernosa00190	INO80 complex subunit
Mcavernosa00187	TRAF-type zinc finger
Mcavernosa00183	Small nuclear RNA activating complex, polypeptide 1, 43kDa
Mcavernosa00196	ribosomal protein
Mcavernosa00201	whole genome shotgun sequence
Mcavernosa00195	sterile alpha motif domain containing
Mcavernosa00199	DBF4 homolog (S. cerevisiae)
Mcavernosa00200	F-box and leucine-rich repeat protein 7
Mcavernosa00240	(RNA) helicase
Mcavernosa00231	Elongation factor
Mcavernosa00216	WSC domain
Mcavernosa00233	U5 small nuclear ribonucleoprotein
Mcavernosa00227	Galactose binding lectin domain
Mcavernosa00248	TBC1 domain family, member 5
Mcavernosa00245	Integrin, alpha
Mcavernosa00241	Integrin, alpha
Mcavernosa00249	Integrin, alpha
Mcavernosa00250	NACHT and WD repeat domain containing 1
Mcavernosa00258	Integrin, alpha
Mcavernosa00251	TBC1 domain family, member 5
Mcavernosa00260	chromosome 3 open reading frame 58
Mcavernosa00253	Integrin, alpha
Mcavernosa00265	ribosomal protein
Mcavernosa00264	SH3-domain binding protein 5 (BTK-associated)
Mcavernosa00261	SH3-domain binding protein 5 (BTK-associated)
Mcavernosa00263	chromosome 3 open reading frame 58
Mcavernosa00267	Cleavage and polyadenylation
Mcavernosa00272	regulator of G-protein signaling like 1
Mcavernosa00273	regulator of G-protein signaling like 1
Mcavernosa00270	Mannosyltransferase
Mcavernosa00274	amino acid transporter
Mcavernosa00279	Syntaxin 16
Mcavernosa00276	amino acid transporter
Mcavernosa00281	H ACA ribonucleoprotein complex subunit
Mcavernosa00277	amino acid transporter
Mcavernosa00283	Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). Also essential during biosynthesis of the molybdenum cofactor. Acts by mediating the C-terminal thiocarboxylation of sulfur carriers urm1 and mocs2a. Its N-terminus first activates urm1 and mocs2a as acyl-adenylates (-COAMP), then the persulfide sulfur on the catalytic cysteine is transferred to urm1 and mocs2a to form thiocarboxylation (-COSH) of their C-terminus. The reaction probably involves hydrogen sulfide that is generated from the persulfide intermediate and that acts as nucleophile towards urm1 and mocs2a. Subsequently, a transient disulfide bond is formed. Does not use thiosulfate as sulfur donor
Mcavernosa00278	amino acid transporter
Mcavernosa00289	whole genome shotgun sequence
Mcavernosa00285	ankyrin repeat and sterile alpha motif domain containing 6
Mcavernosa00291	Zinc finger protein 862
Mcavernosa00286	Anoctamin
Mcavernosa00287	Zinc finger, DHHC-type containing
Mcavernosa00290	Zinc finger protein 862
Mcavernosa00295	NA
Mcavernosa00293	Inherit from KOG: Retrotransposon protein
Mcavernosa00292	Inherit from KOG: Retrotransposon protein
Mcavernosa00313	Ankyrin repeat domain-containing protein
Mcavernosa00306	to transposase domain-containing protein
Mcavernosa00304	NA
Mcavernosa00300	NA
Mcavernosa00308	Neuronal pentraxin
Mcavernosa00318	Transient receptor potential cation channel subfamily A member
Mcavernosa00321	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 10
Mcavernosa00314	Transient receptor potential cation channel subfamily A member
Mcavernosa00317	Transient receptor potential cation channel subfamily A member
Mcavernosa00330	Patched 1
Mcavernosa00327	Patched 1
Mcavernosa00329	Patched 1
Mcavernosa00335	DNA-directed RNA polymerases I, II and III
Mcavernosa00331	Patched 1
Mcavernosa00339	Patched 1
Mcavernosa00343	Protein kinase AMP-activated alpha
Mcavernosa00338	Patched 1
Mcavernosa00340	zinc finger
Mcavernosa00342	Neurolysin (Metallopeptidase M3 family)
Mcavernosa00336	Patched 1
Mcavernosa00337	Patched 1
Mcavernosa00334	RNA 3-terminal phosphate
Mcavernosa00332	Patched 1
Mcavernosa00333	zinc finger protein 251
Mcavernosa00349	transmembrane protein 69
Mcavernosa00348	GTP-binding protein
Mcavernosa00344	NA
Mcavernosa00347	tripartite motif containing 45
Mcavernosa00350	Gamma-aminobutyric acid (GABA) B receptor
Mcavernosa00355	Gamma-aminobutyric acid (GABA) B receptor
Mcavernosa00352	Gamma-aminobutyric acid (GABA) B receptor
Mcavernosa00346	tripartite motif containing 71, E3 ubiquitin protein ligase
Mcavernosa00354	Gamma-aminobutyric acid (GABA) B receptor
Mcavernosa00363	williams Beuren syndrome chromosome region
Mcavernosa00359	Pyruvate formate lyase
Mcavernosa00358	UDP-Gal betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1
Mcavernosa00364	cysteine peptidase
Mcavernosa00356	Gamma-aminobutyric acid (GABA) B receptor
Mcavernosa00365	williams Beuren syndrome chromosome region
Mcavernosa00360	Pyruvate formate lyase
Mcavernosa00361	cholinergic receptor, nicotinic
Mcavernosa00374	Zinc finger, SWIM-type containing
Mcavernosa00370	DEAD (Asp-Glu-Ala-Asp) box polypeptide
Mcavernosa00373	glutathione peroxidase
Mcavernosa00372	nucleoredoxin-like
Mcavernosa00367	williams Beuren syndrome chromosome region
Mcavernosa00371	ironsulfur cluster assembly
Mcavernosa00377	BCCT family transporter
Mcavernosa00368	cysteine peptidase
Mcavernosa00375	DNA-directed RNA polymerases I, II, and III subunit RPABC1-like
Mcavernosa00369	cysteine peptidase
Mcavernosa00366	Alcohol acetyltransferase
Mcavernosa00378	Pfam:K_tetra
Mcavernosa00380	ATP-binding cassette, sub-family C (CFTR MRP), member
Mcavernosa00386	chromosome 1 open reading frame 228
Mcavernosa00385	PotAssium voltage-gated channel
Mcavernosa00381	PotAssium voltage-gated channel
Mcavernosa00382	PotAssium voltage-gated channel
Mcavernosa00389	centrosomal protein 78kDa
Mcavernosa00387	spindle and centriole associated protein 1
Mcavernosa00388	Signal recognition particle
Mcavernosa00397	Phosphatidylinositol 4kinase
Mcavernosa00391	potassium voltage-gated channel shaker-related subfamily member
Mcavernosa00402	Phosphatidylinositol 4kinase
Mcavernosa00408	NA
Mcavernosa00409	NA
Mcavernosa00406	wntless homolog (Drosophila)
Mcavernosa00407	wntless homolog (Drosophila)
Mcavernosa00412	Nicotinate phosphoribosyltransferase
Mcavernosa00420	Cadherin-related 23
Mcavernosa00414	signal peptide, CUB domain, EGF-like 3
Mcavernosa00418	Cadherins are calcium dependent cell adhesion proteins (By similarity)
Mcavernosa00421	Na K transporting ATPase interacting
Mcavernosa00415	Nicotinate phosphoribosyltransferase
Mcavernosa00426	Nicotinate phosphoribosyltransferase
Mcavernosa00430	TPR
Mcavernosa00431	Purple acid phosphatase
Mcavernosa00425	Aquaporin
Mcavernosa00429	TPR
Mcavernosa00424	solute carrier family 30 (zinc transporter), member
Mcavernosa00435	Thyroid hormone receptor interactor 4
Mcavernosa00438	MAC/Perforin domain
Mcavernosa00437	MAC/Perforin domain
Mcavernosa00448	glutamate carboxypeptidase
Mcavernosa00446	glutamate carboxypeptidase
Mcavernosa00442	Thioredoxin
Mcavernosa00451	member RAS oncogene family
Mcavernosa00433	kiaa0355
Mcavernosa00444	Hook homolog
Mcavernosa00436	component of oligomeric golgi complex 4
Mcavernosa00449	Structural maintenance of chromosomes
Mcavernosa00452	Melatonin receptor
Mcavernosa00455	Mediator complex subunit 8
Mcavernosa00456	receptor
Mcavernosa00453	seizure threshold 2
Mcavernosa00454	Transmembrane protein 5
Mcavernosa00465	Nucleolar complex associated 4 homolog (S. cerevisiae)
Mcavernosa00467	coiled-coil domain containing 17
Mcavernosa00466	NA
Mcavernosa00469	whole genome shotgun sequence
Mcavernosa00464	Component of the PAN1 actin cytoskeleton-regulatory complex required for the internalization of endosomes during actin-coupled endocytosis. The complex links the site of endocytosis to the cell membrane-associated actin cytoskeleton. Mediates uptake of external molecules and vacuolar degradation of plasma membrane proteins. Plays a role in the proper organization of the cell membrane-associated actin cytoskeleton and promotes its destabilization (By similarity)
Mcavernosa00472	Inherit from COG: oxidoreductase
Mcavernosa00478	Catenin, beta like 1
Mcavernosa00479	Excision repair cross-complementing rodent repair deficiency, complementation group 1 (Includes overlapping antisense sequence)
Mcavernosa00481	snail homolog
Mcavernosa00483	Enhancer of mRNA decapping 4
Mcavernosa00482	NA
Mcavernosa00495	Collagen triple helix repeat containing 1
Mcavernosa00488	receptor
Mcavernosa00500	Galactose binding lectin domain
Mcavernosa00494	Complement component 1, q subcomponent
Mcavernosa00496	ATP-dependent DNA helicase
Mcavernosa00486	saccharopine dehydrogenase
Mcavernosa00512	Cadherins are calcium dependent cell adhesion proteins (By similarity)
Mcavernosa00509	ribosome recycling factor
Mcavernosa00508	ubiquitin-conjugating enzyme
Mcavernosa00506	Dehydrogenase
Mcavernosa00507	pyruvate dehydrogenase phosphatase regulatory subunit
Mcavernosa00515	Phosphatidylinositol glycan anchor biosynthesis, class T
Mcavernosa00516	Phosphatidylinositol glycan anchor biosynthesis, class T
Mcavernosa00513	Cadherins are calcium dependent cell adhesion proteins (By similarity)
Mcavernosa00526	Coiled-coil domain containing 125
Mcavernosa00514	Cadherins are calcium dependent cell adhesion proteins (By similarity)
Mcavernosa00528	Charged multivesicular body protein
Mcavernosa00529	Aspartate aminotransferase
Mcavernosa00527	NA
Mcavernosa00534	FA58C
Mcavernosa00533	FA58C
Mcavernosa00535	protein phosphatase 1, regulatory subunit
Mcavernosa00536	protein phosphatase 1, regulatory subunit
Mcavernosa00539	Ankyrin Repeat Protein
Mcavernosa00537	major facilitator superfamily domain containing 12
Mcavernosa00538	Ankyrin Repeat Protein
Mcavernosa00545	WD domain, G-beta repeat
Mcavernosa00540	StAR-related lipid transfer (START) domain containing
Mcavernosa00542	polycystic kidney and hepatic disease 1 (autosomal
Mcavernosa00543	polycystic kidney and hepatic disease 1 (autosomal
Mcavernosa00551	Aminopeptidase
Mcavernosa00547	Protein phosphatase 2, regulatory subunit B''
Mcavernosa00552	thrombospondin-type laminin G domain and EAR repeats
Mcavernosa00553	NA
Mcavernosa00550	Wolfram syndrome 1 (wolframin)
Mcavernosa00562	SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
Mcavernosa00548	Golgin A7
Mcavernosa00557	Stomatin
Mcavernosa00560	cytochrome P450
Mcavernosa00564	receptor
Mcavernosa00561	PleXin Domain containing
Mcavernosa00572	Kelch motif
Mcavernosa00565	Kelch motif
Mcavernosa00581	Zinc finger protein
Mcavernosa00583	UBX domain protein 4
Mcavernosa00577	solute carrier family 39 (zinc transporter), member
Mcavernosa00570	solute carrier family 25 (aspartate glutamate carrier), member
Mcavernosa00574	solute carrier family 25 (aspartate glutamate carrier), member
Mcavernosa00580	Swi SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1
Mcavernosa00576	solute carrier family 39 (zinc transporter), member
Mcavernosa00573	solute carrier family 25 (aspartate glutamate carrier), member
Mcavernosa00579	solute carrier family 39 (zinc transporter), member
Mcavernosa00589	NA
Mcavernosa00593	NA
Mcavernosa00597	Intercellular signal essential for a variety of patterning events during development (By similarity)
Mcavernosa00582	Translational activator of mitochondrially encoded cytochrome c oxidase I
Mcavernosa00594	NA
Mcavernosa00595	Nonhomologous end-joining factor 1
Mcavernosa00590	StAR-related lipid transfer (START) domain containing
Mcavernosa00588	Spastic ataxia of Charlevoix-Saguenay (Sacsin)
Mcavernosa00586	Spastic ataxia of Charlevoix-Saguenay (Sacsin)
Mcavernosa00598	chromosome 7 open reading frame 31
Mcavernosa00605	Destroys radicals which are normally produced within the cells and which are toxic to biological systems (By similarity)
Mcavernosa00616	phytanoyl-CoA dioxygenase
Mcavernosa00603	chromosome 7 open reading frame 31
